time,voltage,current,SOC_true,SOC_kf
0,14.9206310273647,3.75852352736475,0.5,0.800132362500627
1,14.9583497472359,3.79710978965445,0.500154320987654,0.800272770897401
2,14.9217439183399,3.76134586048964,0.500308641975309,0.800405470863517
3,15.214570397046,4.05498953090463,0.500462962962963,0.800615286319051
4,14.9213956160792,3.7626081330102,0.500617283950617,0.800725649428889
5,15.0448135509485,3.88679650780612,0.500771604938272,0.800884326807969
6,15.0098435509121,3.85257483747332,0.500925925925926,0.801024399766399
7,14.9326093816663,3.77606768933584,0.50108024691358,0.801118945875882
8,15.0200396628726,3.86420445461,0.501234567901235,0.801265353879325
9,14.9311656046701,3.77601708608761,0.501388888888889,0.801345508391387
10,15.0816463823865,3.92716547397168,0.501543209876543,0.801540198542898
11,14.8240548814107,3.67022319182769,0.501697530864198,0.801507730068163
12,15.1263539216212,3.97315372204679,0.501851851851852,0.801755853604865
13,14.967154697431,3.81456889688363,0.502006172839506,0.801837018886196
14,15.0163564142904,3.8643685359132,0.502160493827161,0.801967489956497
15,14.9445099134302,3.79310407168798,0.502314814814815,0.802006315508091
16,14.9180222142184,3.76718309297324,0.502469135802469,0.802003678896303
17,15.2244278942656,4.07414072569508,0.502623456790123,0.802414740023599
18,14.9818568759043,3.83210742022935,0.502777777777778,0.802469933568729
19,15.0458794305957,3.89665395658479,0.502932098765432,0.802617053938406
20,14.9364435565244,3.7877288227437,0.503086419753086,0.802578042458673
21,14.951720929047,3.80350416582703,0.503240740740741,0.802555626292435
22,14.9871796258926,3.83944851798242,0.503395061728395,0.802588107138776
23,14.9607640614466,3.8135067313283,0.503549382716049,0.80256074603352
24,14.9242118314667,3.77741682330469,0.503703703703704,0.802449365982232
25,15.0221722135112,3.87582847771032,0.503858024691358,0.802532096506029
26,15.0911991369703,3.94529601531921,0.504012345679012,0.802757641673647
27,14.9145084941747,3.76903570555167,0.504166666666667,0.80257062493192
28,15.0119747058994,3.86692233251806,0.504320987654321,0.802602815210897
29,14.8364718654636,3.69183033963757,0.504475308641975,0.802187779964836
30,15.0080028644049,3.86376295581109,0.50462962962963,0.802198281325989
